std_smiles,expt_test,database
N#CCS(=O)Cl,0,emolecules
N#CC1CC(F)(F)C1,0,emolecules
CCOCC#N,0,emolecules
CCS(=O)(=O)F,2,emolecules
N#CCCCC(F)(F)F,0,emolecules
CC(F)(F)CCl,0,emolecules
N#CCS(=O)C(F)F,0,emolecules
CC(F)CC(F)(F)F,0,emolecules
O=S(=O)(OC(F)F)C(F)(F)F,0,emolecules
CC(C)(C#N)CC(F)(F)C(F)(F)F,0,emolecules
CC(=O)OCC(=O)Cl,0,emolecules
COC(C)(C)C#N,0,emolecules
CC(C)(F)C(C)(F)C#N,0,emolecules
N#CCC(=O)C(F)F,0,emolecules
N#CC1(C(F)F)CCC1,0,emolecules
FCCC(F)(F)F,0,emolecules
O=C1CC(C(F)(F)F)CC(=O)O1,0,emolecules
COC(=O)CCl,0,emolecules
N#CCCCCF,0,emolecules
CC(C)(C)C#N,0,emolecules
CC(C)(C#N)CCC#N,0,emolecules
O=C(Cl)C(F)C(=O)Cl,0,emolecules
O=S(=O)(F)C(F)(F)C(F)F,0,emolecules
CCC(C)(F)F,0,emolecules
FC(F)(F)CCCC(F)(F)F,0,emolecules
COC(F)F,0,emolecules
FC(F)(Cl)C(Cl)Cl,0,emolecules
FC(Cl)C(F)Cl,0,emolecules
N#CC1(C(F)C(F)(F)F)CC1,0,emolecules
CCOC(=O)C(=O)Cl,0,emolecules
CCC(C)(C)C(C)C#N,0,emolecules
CCOC(=O)C(=O)C(C)C#N,0,emolecules
COC(=O)C(F)C(F)(F)F,0,emolecules
O=CC(F)(F)C(F)(F)F,0,emolecules
FC(F)C(F)(F)C1(F)OC1(F)F,0,emolecules
CCC(=O)Cl,0,emolecules
CC(C)CC(C)C#N,0,emolecules
COS(=O)(=O)C(F)(F)F,0,emolecules
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,0,emolecules
O=C1CC(C(F)(F)C(F)(F)C(F)(F)F)C(=O)O1,0,emolecules
FC(F)(Cl)C(F)(F)C(F)(Cl)Cl,0,emolecules
COS(C)(=O)=O,0,emolecules
CCCCC(Cl)C#N,0,emolecules
CS(=O)(=O)C(F)(F)F,0,emolecules
O=C1CCC(Cl)O1,0,emolecules
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,0,emolecules
COCC(Cl)C#N,0,emolecules
CC(C)C(C#N)CS(=O)(=O)F,0,emolecules
O=C1CC(C(C(F)(F)F)C(F)(F)F)C(=O)O1,0,emolecules
O=C(Cl)C(C(F)(F)F)C(F)(F)F,0,emolecules
O=C1OC(C(=O)F)(C(F)(F)F)OC1(F)C(F)(F)F,0,emolecules
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,0,emolecules
COCC(C)C#N,0,emolecules
O=C(Cl)C(F)(Cl)C(F)(F)F,0,emolecules
CN(C)C(=O)C=O,0,emolecules
CCCC(C)(C)C#N,0,emolecules
O=C1OC(=O)C(F)C1F,0,emolecules
O=P(=O)OP(=O)=O,0,emolecules
N#CCC1CC(F)(F)C1(F)F,0,emolecules
COC(=O)C(C#N)C(C)=O,0,emolecules
COC(=O)C(F)(Cl)C(F)(F)F,0,emolecules
CC(=O)C#N,0,emolecules
CCOC(=O)C(F)(F)C(F)(F)F,0,emolecules
FC(Cl)CCl,0,emolecules
COC(=O)C(C)F,0,emolecules
N#CCC(=O)C(F)(F)F,0,emolecules
N#CCCC(Cl)(Cl)Cl,0,emolecules
N#CC1CC(F)C1,0,emolecules
N#CCC1CC1,0,emolecules
O=C(OCC(F)(F)F)C(F)(F)F,0,emolecules
CCC(CC)CCC#N,0,emolecules
O=C(Cl)C(F)(F)S(=O)(=O)F,0,emolecules
CCS(=O)(=O)Cl,1,emolecules
COC(=O)C1C(=O)COC1=O,0,emolecules
CC1(CC#N)CC1(F)F,0,emolecules
N#CC1CC(CF)C1,0,emolecules
CC(F)(Cl)C(Cl)(Cl)Cl,0,emolecules
O=C1CCC(C(F)(F)F)O1,0,emolecules
COC(=O)CC=O,0,emolecules
N#CC12CC(C1)C2,0,emolecules
O=C(Cl)C(F)(F)C(F)F,0,emolecules
CC1CC1C#N,0,emolecules
CC(F)(F)CC(F)(F)F,0,emolecules
N#CC1CC(C(F)F)C1,0,emolecules
CC(=O)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,0,emolecules
N#CCCC=O,0,emolecules
O=C1CC(C(F)(F)C(F)F)CC(=O)O1,0,emolecules
CC(C=O)CCC#N,0,emolecules
N#CC1CCC1,0,emolecules
CCC(C#N)OC,0,emolecules
O=C(Cl)C(F)(Cl)CCl,0,emolecules
N#CC(CS(=O)(=O)Cl)C(F)(F)F,0,emolecules
O=S(=O)(OC(F)F)C(F)F,0,emolecules
O=C1OCCC1C(=O)C(F)(F)F,0,emolecules
FC(F)(F)C(F)(F)C(F)(F)CCl,0,emolecules
CCOP(=O)(F)F,0,emolecules
CCOC(=O)C(F)(F)C(F)(F)Cl,0,emolecules
CCCC(C)C(C)C#N,0,emolecules
FC(F)(F)C(Cl)C(F)(F)Cl,0,emolecules
CCOC(=O)C(=O)CC#N,0,emolecules
CC(=O)OC(C#N)CC(F)(F)F,0,emolecules
FC(F)(F)C(F)(F)CCCl,0,emolecules
N#CCC1CC(F)(F)C1,0,emolecules
CC(C)(C#N)CCCl,0,emolecules
CCC(F)(F)C(C)(F)F,0,emolecules
FCC(F)S(F)(F)F,0,emolecules
O=S1(=O)OC(F)(F)C1(F)F,0,emolecules
N#CCCC1CC1(F)F,0,emolecules
N#CCCCC=O,0,emolecules
N#CC1CCC1C(F)(F)F,0,emolecules
FC(Cl)(Cl)CCl,0,emolecules
O=C(Cl)C(Cl)Cl,0,emolecules
O=C(Cl)C(=O)OCC(F)(F)F,0,emolecules
CC(F)(F)S(=O)(=O)Cl,0,emolecules
CC(C)(C#N)C(C(F)(F)F)C(F)(F)F,0,emolecules
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,0,emolecules
O=P(Cl)(Cl)C(F)(F)C(F)(F)F,0,emolecules
CCC(C#N)(CC)C(=O)Cl,0,emolecules
N#CCC1CC1C(F)(F)F,0,emolecules
COC(F)(F)C(F)(F)C(F)(F)F,0,emolecules
N#CC1CC(C(F)(F)F)C1,0,emolecules
CCS(=O)(=O)OC,0,emolecules
FC(F)CCCCl,0,emolecules
COC(=O)C(C)C(F)(F)F,0,emolecules
CC(Cl)OC(=O)Cl,0,emolecules
O=S(=O)(F)C(Cl)Cl,0,emolecules
CC(F)(F)OS(=O)(=O)C(F)(F)F,0,emolecules
O=S(=O)(Cl)C(F)(F)C(F)(F)C(F)(F)F,0,emolecules
COC(=O)C(F)(Cl)C(F)(F)Cl,0,emolecules
O=S(=O)(Cl)C(Cl)Cl,0,emolecules
O=C(OCC(F)F)C(F)(F)F,0,emolecules
CC(C)CC(=O)F,0,emolecules
CC(C#N)OCC(F)(F)F,0,emolecules
CCCCF,0,emolecules
FS(F)(F)(F)(F)OCCCl,0,emolecules
O=C(Cl)C(F)C(F)(F)F,0,emolecules
CCCCC(F)(F)C(F)(F)F,0,emolecules
O=C1CC(C(F)(F)C(F)(F)F)CC(=O)O1,0,emolecules
O=C(Cl)CC(F)(F)F,0,emolecules
CC1(CC#N)COC1,0,emolecules
ClCCCCl,0,emolecules
CCOC(=O)C(F)(F)C(F)F,0,emolecules
O=COCCCl,0,emolecules
CC(C)OCC#N,0,emolecules
